binding_id,row_type,row_id,bibtex_key,operation,kind,automaton_id,role,source,linked_strategy_ids,linked_error_ids,link_ids,evidence
misconception:1:fraction:whole_number_grab,misconception,1,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number; denominator; numerator | Fraction as shaded/unshaded; adding numerators and denominators; base-ten regrouping for fractions; cross-multiplying fractions; 6 becomes 6/6; dividing numerators/denominators separately; counting decimal digits for comparison
misconception:15:fraction:whole_number_grab,misconception,15,ISI:000451089500006,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Fraction as two independent whole numbers; improper fractions impossible; repeated-addition model dysfunctional for fraction multiplication
misconception:21:fraction:whole_number_grab,misconception,21,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Cannot solve verbal decimal problems; cannot mentally substitute decimals with whole numbers
misconception:22:fraction:whole_number_grab,misconception,22,ISI:A1990CQ73900001,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Multiplication makes bigger; divisor must be whole number; rejecting 15 x 0.6 = 9
misconception:29:fraction:whole_number_grab,misconception,29,ISI:000207960900008,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | ""Gap thinking"" (3/4 > 7/9 because gap of 1 vs. 2); improper fractions when making combinations near 1"
misconception:33:fraction:whole_number_grab,misconception,33,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | NNB in PSTs; 0.9 / 0.3 = 0.3
misconception:36:fraction:whole_number_grab,misconception,36,ISI:000413956700004,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | PSTs: overgeneralize whole-number properties to fraction division; invert dividend instead of divisor
misconception:49:fraction:whole_number_grab,misconception,49,ISI:000292142400003,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number | Subtracting percent from price as whole number (69 - 20 for 20% off)
misconception:59:fraction:whole_number_grab,misconception,59,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,"whole number; whole-number | ""Always borrow left"" bug across whole numbers, fractions, decimals"
misconception:73:fraction:whole_number_grab,misconception,73,,fraction,whole_number_grab,fraction:whole_number_grab,deformation_misconception,automaton_instance_bindings:error_row_mapper,,,,whole number; whole-number; denominator | Replacing denominator with period; decimal point as whole-number separator
