id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37436,"The student named a unit fraction based on the numerosity (length) of the stick being used, rather than its multiplicative relationship to the whole.","The student initially named a 6-stick as 'one-sixth' of a 24-stick, rather than one-fourth.",fraction,representation,unit fractions,student,third to fifth grade,JMB_Olive_2002_Construction,"John Olive, Leslie P. Steffe",2002,Journal of Mathematical Behavior,productive,secondary,419,pdfs/JMB/JMB_Olive_2002_Construction.pdf
37443,"A student incorrectly names a fraction of a fraction by guessing the total number of parts in the whole based on a prior unrelated problem, rather than mentally partitioning the whole.","Laura identified 3/4 of 1/4 as 3/10 because she assumed the original whole was partitioned into 10 parts, an estimate typical of her simultaneous partitioning scheme.",fraction,fraction of a fraction,recursive partitioning,student,fifth-grade,MTL_Steffe_2004_Construction,Leslie P. Steffe,2004,Mathematical Thinking and Learning,productive,secondary,"136, 137",pdfs/MTL/MTL_Steffe_2004_Construction.pdf
37450,"The student determined the size of a fraction of a fraction by repeatedly copying the resulting piece to recreate the whole, rather than using a recursive partitioning operation.","Sara copied a 1/2 of 1/15 piece 30 times to make the whole cake and concluded it was 1/30, instead of partitioning each fifteenth into two parts.",fraction,fraction composition,unit fraction of a unit fraction,student,sixth grade,JMB_Hackenberg_2009_Students',"Amy J. Hackenberg, Erik S. Tillema",2009,Journal of Mathematical Behavior,productive,primary,7-9,pdfs/JMB/JMB_Hackenberg_2009_Students'.pdf
37460,The student lacks a general scheme to partition a composite fractional bar into a specific number of equal parts without relying on visual estimation.,"Given 3/10 of a meter is 2/5 of the total distance, Bridget could not figure out the length because she did not have a way to partition a 3-part bar into 2 equal parts.",fraction,reversible multiplicative relationships,partitioning composite units,student,6th-grade,JRME_Hackenberg_2010_Mathematical,Amy J. Hackenberg,2010,Journal for Research in Mathematics Education,mixed,secondary,260,pdfs/JRME/JRME_Hackenberg_2010_Mathematical.pdf
37488,"Students substitute the formal representation of a common fraction line in place of actually finding a common denominator, simply writing the sum of the numerators over the sum of the denominators.",1/2 + 2/3 = (1 + 2)/5,fraction,fraction addition,common denominator,student,ages 13-15,JRME_Vinner_1981_Some,"Shlomo Vinner, Rina Hershkowitz and Maxim Bruckheimer",1981,Journal for Research in Mathematics Education,uncoded,primary,73,pdfs/JRME/JRME_Vinner_1981_Some.pdf
37512,"Students rely on previously learned, faulty algorithmic procedures rather than drawing on their informal reasoning, leading them to trust incorrect arithmetic calculations over sensible, context-based answers.","When adding 3/8 and 2/8, a student correctly reasoned 'Five-eighths' mentally, but when writing it down applied a faulty rote rule to get '5/16' (adding straight across) and trusted the incorrect procedural result more.",fraction,addition,rote procedures,student,sixth-grade,JRME_Mack_1990_Learning,Nancy K. Mack,1990,Journal for Research in Mathematics Education,uncoded,primary,"27, 28",pdfs/JRME/JRME_Mack_1990_Learning.pdf
37520,"When a student correctly combines parts from two identical wholes and shifts the referent unit to the combined total (e.g., viewing two 8-piece pizzas as a 16-piece whole), the teacher incorrectly diagnoses this productive reasoning as the algorithmic error of 'adding denominators.'","A student combining 3/8 of one pizza and 3/8 of another states the answer is '6/16,' which the teacher documents in her notes as 'Brian continues to add the denominators.'",fraction,addition,referent whole,mixed,fifth-grade,JRME_Maher_1990_Chapter,Carolyn A. Maher and Robert B. Davis,1990,Journal for Research in Mathematics Education. Monograph,productive,secondary,82,pdfs/JRME/JRME_Maher_1990_Chapter.pdf
37548,"Students interpret division solely through a primitive, partitive model, leading to the incorrect intuitive beliefs that the divisor must be a whole number, the dividend must be greater than the divisor, and division always makes numbers smaller.","For a measurement division problem asking how many 1/4 kg packages can be made from 4 kg, students choose 1/4 x 4 because they believe division makes smaller and multiplication makes bigger.",fraction,division,intuitive models,PST,prospective elementary teachers,JRME_Tirosh_2000_Enhancing,Dina Tirosh,2000,Journal for Research in Mathematics Education,uncoded,primary,"7, 11, 12, 19, 20",pdfs/JRME/JRME_Tirosh_2000_Enhancing.pdf
37573,Students rigidly mislabel fractions on a number line by assuming denominators must increase consecutively from left to right.,"Students mislabeled tick marks on a number line as 1/2, 1/3, and 1/4 consecutively from left to right between 0 and 1.",fraction,fraction order,number line labeling,student,fourth and fifth graders,JRME_Bright_1988_Identifying,"George W. Bright, Merlyn J. Behr, Thomas R. Post and Ipke Wachsmuth",1988,Journal for Research in Mathematics Education,uncoded,secondary,228,pdfs/JRME/JRME_Bright_1988_Identifying.pdf
37587,The student compares fractions by attending to the total number of pieces in the whole rather than the size of the piece.,The student would argue that 1/4 is larger than 1/3 because 1/4 has more total pieces.,fraction,fraction comparison,number of pieces versus piece size,student,adult,JRME_Lewis_2014_Difference,Katherine E. Lewis,2014,Journal for Research in Mathematics Education,uncoded,secondary,"366, 396",pdfs/JRME/JRME_Lewis_2014_Difference.pdf
37656,"Students believe that an improper fraction cannot be represented using a single whole, arguing that it inherently requires multiple separate objects to exist.","When discussing the fraction 5/4, a student claims 'It's possible with two things, but not with one.'",fraction,improper fractions,referent whole,student,second-grade,JRME_Wood_1993_Chapter,"Terry Wood, Paul Cobb, and Erna Yackel",1993,Journal for Research in Mathematics Education. Monograph,uncoded,secondary,62,pdfs/JRME/JRME_Wood_1993_Chapter.pdf
37666,"Students invent a rule where they multiply the numerator and denominator, assuming the larger the product, the smaller the fraction.","A student orders 2/3 and 2/6 by reasoning 'Two thirds takes six pieces to cover the whole ... two sixths takes twelve pieces to cover the whole, so [2/6] has got to be smaller.'",fraction,fraction order,nonunit fractions,student,fourth-grade,JRME_Post_1985_Order,"Thomas R. Post, Ipke Wachsmuth, Richard Lesh and Merlyn J. Behr",1985,Journal for Research in Mathematics Education,uncoded,primary,25,pdfs/JRME/JRME_Post_1985_Order.pdf
37679,"The student struggles to conceptually partition a discrete object that represents a continuous unit, believing the remainder cannot be shared.","Pho dealt 4 apples to each horse but said 'There's one more left, but I can't give them this' and rejected another student's idea to cut it in half because 'four and four is eight.'",fraction,equal sharing,halving a remainder,student,first-grade,JRME_Empson_2003_Low-performing,Susan B. Empson,2003,Journal for Research in Mathematics Education,productive,primary,"322, 323",pdfs/JRME/JRME_Empson_2003_Low-performing.pdf
37720,Students incorrectly associate an arithmetic operation with certain key words in a word problem without understanding the full context.,"Using the key word 'of' to trigger fraction multiplication, or 'how many' to trigger addition.",fraction,word problems,key words,student,sixth-grade,JRME_Marshall_1983_Sex,Sandra P. Marshall,1983,Journal for Research in Mathematics Education,uncoded,primary,333,pdfs/JRME/JRME_Marshall_1983_Sex.pdf
37768,"The student relies on a part-whole fractional scheme and whole-number procedures, failing to conceptualize nonunit fractions partitively as iterations of a unit fraction.","To produce 2/3 from a 6/6 bar, the student pulled three parts and then pulled two of those, thinking it would be 2/3.",fraction,nonunit fractions,partitive vs part-whole schemes,student,Grade 6,JRME_Norton_2008_Zpc,Anderson Norton and Beatriz S. D'Ambrosio,2008,Journal for Research in Mathematics Education,productive,primary,227,pdfs/JRME/JRME_Norton_2008_Zpc.pdf
37781,Students compare the shaded areas of rectangles by simply counting the number of shaded partitions or unshaded partitions without considering the size of the partitions or the whole.,"Same, because there's seven colored in on this one, and there's seven colored in on this one.",fraction,area comparison,counting pieces,student,"fourth, sixth, and eighth grades",JRME_Armstrong_1995_Students',Barbara E. Armstrong and Carol Novillis Larson,1995,Journal for Research in Mathematics Education,uncoded,primary,"11, 12",pdfs/JRME/JRME_Armstrong_1995_Students'.pdf
37804,"When finding a fraction of a grouped quantity, preservice teachers may lack the cognitive ability to compose and decompose composite units, reverting instead to memorized symbolic algorithms applied only to singleton units.","To find 3/4 of 8 bundles of 4 sticks, a student transforms the quantity to 32 singleton sticks by symbolic multiplication (8x4), symbolically applies the fraction to get 24, and then divides to find the bundles, without ever operating on the bundles themselves as units.",fraction,rational number operator,composition and decomposition of conceptual units,PST,undergraduate college seniors,JRME_Behr_1997_Conceptual,"Merlyn J. Behr, Helen A. Khoury, Guershon Harel, Thomas Post, Richard Lesh",1997,Journal for Research in Mathematics Education,deficit,secondary,60,pdfs/JRME/JRME_Behr_1997_Conceptual.pdf
37822,"When attempting to partition a length, the student does not initially anticipate that there is a unique, specific size for the part that will exactly reproduce the whole when iterated.","When asked to cut a stick into 5 equal parts, Micki iterates a small stick 5 times, sees it is too short, and then iteratively adjusts the size of the small stick rather than anticipating the exact length needed.",fraction,partitioning,iterating composite units,student,fourth- and fifth-grade,JRME_Simon_2004_Explicating,"Martin A. Simon, Ron Tzur, Karen Heinz, Margaret Kinzel",2004,Journal for Research in Mathematics Education,productive,primary,"317, 318, 319",pdfs/JRME/JRME_Simon_2004_Explicating.pdf
