id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37650,"When determining the measure of interior angles of a regular hexagon, students inappropriately rely on a previous visual decomposition into six equilateral triangles, incorrectly summing all triangle angles (6 x 180 = 1080) without subtracting the 360 degrees at the central vertex.",A student reasons that '6 times 180 will give us the angles inside the hexagon' because they remember the six triangles that formed a hexagon in a previous problem.,geometric,angles,interior angles of polygons,student,fifth-grade,JRME_Civil_2002_Chapter,Marta Civil,2002,Journal for Research in Mathematics Education. Monograph,uncoded,primary,"56, 57, 58",pdfs/JRME/JRME_Civil_2002_Chapter.pdf
37714,"Students confuse the natural language meaning of a term with its mathematical meaning, or confuse a word with its antonym.","If the word 'similar' is taken to mean 'closely resembling but not identical', a child might reject the correct response because it has the identical shape of the original figure.",geometric,geometric figures,vocabulary,student,sixth-grade,JRME_Marshall_1983_Sex,Sandra P. Marshall,1983,Journal for Research in Mathematics Education,uncoded,primary,329,pdfs/JRME/JRME_Marshall_1983_Sex.pdf
37729,"Students create overly restrictive, overly broad, or procedurally focused descriptions when attempting to mathematically define geometric concepts, lacking an understanding of essentiality and precision.",All the possible series of points equidistant from a single point.,geometric,definitions,circle,student,secondary school,JRME_Borasi_1994_Capitalizing,Raffaella Borasi,1994,Journal for Research in Mathematics Education,productive,primary,"175, 176, 177, 178",pdfs/JRME/JRME_Borasi_1994_Capitalizing.pdf
37731,Students are presented with and initially attempt to verify an intentionally incorrect theorem stating that the sum of interior angles of a polygon is simply 180 degrees times the number of sides.,In any polygon the sum of the interior angles is 180 degrees times the number of sides.,geometric,polygons,sum of interior angles,student,secondary school,JRME_Borasi_1994_Capitalizing,Raffaella Borasi,1994,Journal for Research in Mathematics Education,productive,primary,"180, 181, 182",pdfs/JRME/JRME_Borasi_1994_Capitalizing.pdf
37754,Students fail to recognize geometric figures such as squares when they are presented in a nonstandard orientation.,,geometric,squares,figure recognition,PST,undergraduate,JRME_Mayberry_1983_Van,Joanne Mayberry,1983,Journal for Research in Mathematics Education,uncoded,primary,"64, 65",pdfs/JRME/JRME_Mayberry_1983_Van.pdf
37756,Students incorrectly assume that angle measures scale proportionally with side lengths in similar figures.,"Five students said that if triangles A and B were similar with A's sides half the length of B's sides, then A's angles were half as large as B's.",geometric,similar triangles,angle measures,PST,undergraduate,JRME_Mayberry_1983_Van,Joanne Mayberry,1983,Journal for Research in Mathematics Education,uncoded,primary,65,pdfs/JRME/JRME_Mayberry_1983_Van.pdf
37758,"Students do not perceive a geometric proof as a logical chain connecting given information to a conclusion, often believing the proof terminates at an intermediate statement.","When given a chain of ordered statements a -> b -> c -> d, students stated that the second or third statement in the chain had been proved, missing the final conclusion.",geometric,proofs,logical chaining,PST,undergraduate,JRME_Mayberry_1983_Van,Joanne Mayberry,1983,Journal for Research in Mathematics Education,uncoded,primary,66,pdfs/JRME/JRME_Mayberry_1983_Van.pdf
37888,"Students confuse similar-sounding mathematical terms, incorrectly believing an intercepted arc refers to lines crossing or hitting each other.",A student thought 'intercept' meant 'goin' through it or hitting it' and crossed his hands in an X to represent the lines intersecting.,geometric,circles and angles,intercepted arcs,student,undergraduate,JRME_WilliamsPierce_2017_What,"Caroline (Caro) Williams-Pierce, Elizabeth L. Pier, Candace Walkington, Rebecca Boncoddo, Virginia Clinton, Martha W. Alibali and Mitchell J. Nathan",2017,Journal for Research in Mathematics Education,uncoded,secondary,"249, 250",pdfs/JRME/JRME_WilliamsPierce_2017_What.pdf
37897,"A student incorrectly claims that the area of a rectangle always increases as its perimeter increases, and the majority of U.S. teachers erroneously believe the student's claim is valid.","A student provides the example of a 4 x 4 square changing to a 4 x 8 rectangle: perimeter increases from 16 to 24, while area increases from 16 to 32. Over 90% of U.S. teachers were inclined to believe that the student's claim was valid.",geometric,area and perimeter,relationship between area and perimeter,in_service,elementary,JRME_Howe_1999_Knowing,Roger Howe,1999,Journal for Research in Mathematics Education,deficit,primary,,pdfs/JRME/JRME_Howe_1999_Knowing.pdf
37956,"Students believe that a circle cannot be fairly partitioned for an odd number of people, struggling to conceptualize radial cuts.","Many students claimed it was impossible to share a circle for an odd number of people, while a few drew a 'peace symbol' or 'Mercedes Benz logo' to achieve a 3-split.",geometric,equipartitioning single wholes,Sharing circles for odd numbers,student,2nd through 4th graders,ZDM_Confrey_2015_Design,"Jere Confrey, Alan Maloney",2015,ZDM Mathematics Education,deficit,secondary,926,pdfs/ZDM/ZDM_Confrey_2015_Design.pdf
