id,error_description,example,mathematical_domain,mathematical_topic,mathematical_subtopic,population_type,grade_band_as_declared,bibtex_key,authors,year,journal,orientation,salience,page_refs,local_pdf_path
37484,"Students assume that in division, the dividend must be larger than the divisor, often reversing the numbers when the divisor is larger to satisfy this partitive model constraint.","When given a partitive division problem like '15 friends together bought 5 kg of cookies. How much did each one get?', most students incorrectly chose 15 ÷ 5 rather than 5 ÷ 15.",whole_number,division,partitive division,student,"Grades 5, 7, and 9",JRME_Fischbein_1985_Role,"Efraim Fischbein, Maria Deri, Maria Sainati Nello and Maria Sciolis Marino",1985,Journal for Research in Mathematics Education,uncoded,primary,"7, 11, 12",pdfs/JRME/JRME_Fischbein_1985_Role.pdf
37497,"Students interpret a missing-addend task based on the format of preceding addition tasks, mistakenly adding the given numbers together rather than finding the missing part.","When solving the missing-addend task 29 + _ = 51 immediately after two standard addition tasks, a student adds 29 and 51 to get an answer of 70 or greater.",whole_number,addition,missing addend,mixed,second-grade,JRME_Cobb_1991_Assessment,"Paul Cobb, Terry Wood, Erna Yackel, John Nicholls, Grayson Wheatley, Beatriz Trigatti and Marcella Perlwitz",1991,Journal for Research in Mathematics Education,uncoded,secondary,16,pdfs/JRME/JRME_Cobb_1991_Assessment.pdf
37530,"When faced with an open-ended problem, students resort to unjustified symbol manipulation by extracting given numbers from the text and combining them using random operations irrelevant to the context.","In solving a word problem about grouping blocks into 2s, 3s, and 4s with a remainder of 1, a student simply added all the numbers presented in the text together.",whole_number,problem solving,open-ended tasks,student,sixth-grade,JRME_Cai_1995_Cognitive,Jinfa Cai,1995,Journal for Research in Mathematics Education. Monograph,uncoded,secondary,"78, 79, 80, 86",pdfs/JRME/JRME_Cai_1995_Cognitive.pdf
37575,"Students believe that if a number is composite, it must be divisible by a small prime, leading them to falsely conclude large numbers are prime after testing only a few small primes.","A student calculated 151 x 157 = 23707, found its square root, but then only checked divisibility for familiar small primes before concluding 23707 was prime.",whole_number,prime numbers,divisibility testing,PST,elementary (K-7) level,JRME_Zazkis_2004_Understanding,Rina Zazkis and Peter Liljedahl,2004,Journal for Research in Mathematics Education,productive,primary,"175, 182",pdfs/JRME/JRME_Zazkis_2004_Understanding.pdf
37603,"Unskilled calculators fragment addition tasks during mental multiplication by using a digit-by-digit, right-to-left process, which overburdens short-term memory and prevents the retrieval of obvious sums.","In adding 2500 and 500, a student retrieved the digits '5, 0, 0' and '2, 5, 0, 0' and attempted to add them right to left, losing track of the place values and answering '2, 7, 5, 0'.",whole_number,addition,mental calculation,student,Grade 11 and 12,JRME_Hope_1987_Characteristics,John A. Hope and James M. Sherrill,1987,Journal for Research in Mathematics Education,uncoded,primary,105,pdfs/JRME/JRME_Hope_1987_Characteristics.pdf
37653,Students believe that estimation problems must yield a single right answer and refuse to accept multiple valid estimates or alternative valid estimation processes.,"When evaluating two different acceptable rounding processes, students concluded 'Neither one used the right numbers,' or insisted that only the process yielding the closer result to the exact computation was correct.",whole_number,computational estimation,multiple outcomes,student,"Grades 3, 5, 7, and 9",JRME_Sowder_1989_Development,Judith T. Sowder and Margariete M. Wheeler,1989,Journal for Research in Mathematics Education,uncoded,primary,"139, 140, 144",pdfs/JRME/JRME_Sowder_1989_Development.pdf
37671,"The student treats literate arithmetic procedures as rigid, authoritative rituals devoid of real-world context, failing to connect symbolic operations to situational meanings.","Talli could not tell a story or describe a real-life situation that would lead to the operation 24 times 9, stating 'I can't explain it. It is multiplication.'",whole_number,multiplication,real-world contexts,student,11th graders,JRME_BenYehuda_2005_Doing,"Miriam Ben-Yehuda, Ilana Lavy, Liora Linchevski, Anna Sfard",2005,Journal for Research in Mathematics Education,sociocultural,primary,"214, 216, 238, 239",pdfs/JRME/JRME_BenYehuda_2005_Doing.pdf
37692,"Children are confused by the explicit representation of zeroes in written subtraction algorithms, often failing to borrow correctly and questioning the mathematical value of the zero digit itself.","When subtracting 5 from 0 in written form, children often hesitated as to whether the result was 5 or 0, and asked questions like 'Is this zero a number?'",whole_number,subtraction,zeroes,student,third graders,JRME_Carraher_1987_Written,"Terezinha Nunes Carraher, David William Carraher and Analucia Dias Schliemann",1987,Journal for Research in Mathematics Education,uncoded,secondary,94,pdfs/JRME/JRME_Carraher_1987_Written.pdf
37762,"When applying the standard vertical decomposition algorithm, students may mechanically borrow a '1' to place next to the minuend without realizing they have merely recreated the original problem.","Michael (9+) wrote 18 - 9 vertically, put a little 1 by the 8, and said, 'I can't take 9 from 8 but if I put a little 1 it makes it easier because now it's 9 from 18.'",whole_number,subtraction,decomposition algorithm,student,aged 7 to 12,JRME_Gray_1994_Duality,Eddie M. Gray and David O. Tall,1994,Journal for Research in Mathematics Education,uncoded,secondary,130,pdfs/JRME/JRME_Gray_1994_Duality.pdf
37789,"Prospective teachers view long division as a disconnected set of procedural rules, explaining the multiply and subtract steps solely as ways to get the next number rather than representing quantitative actions like making equal groups.","When asked why 12 is multiplied by 5 to get 60 in long division, a subject explained, 'The 60 is important because you need it to continue the division. It is not.... You need it to continue going on.'",whole_number,division,long division algorithm,PST,prospective elementary teachers,JRME_Simon_1993_Prospective,Martin A. Simon,1993,Journal for Research in Mathematics Education,uncoded,primary,"243, 244, 248",pdfs/JRME/JRME_Simon_1993_Prospective.pdf
37803,"Preservice teachers confuse different division notations or overgeneralize the commutative property, incorrectly assuming that reversing the dividend and divisor yields the same result.","An interviewee stated, 'I think 15 / 5 and 5 / 15 will have the same solution.'",whole_number,division,notation and commutativity,PST,early elementary education majors,JRME_Graeber_1989_Preservice,"Anna O. Graeber, Dina Tirosh and Roseanne Glover",1989,Journal for Research in Mathematics Education,uncoded,secondary,100,pdfs/JRME/JRME_Graeber_1989_Preservice.pdf
37819,"Students inappropriately generalize last-digit divisibility rules to numbers for which they do not apply, such as 7 or 9.","A student concludes that 1575 is not divisible by 7 because she looks at the last digit (5), and claims it is not divisible by 9 because she looks at the last two digits (75).",whole_number,divisibility,divisibility rules,PST,preservice elementary school teachers,JRME_Zazkis_1996_Divisibility,Rina Zazkis and Stephen Campbell,1996,Journal for Research in Mathematics Education,uncoded,primary,558,pdfs/JRME/JRME_Zazkis_1996_Divisibility.pdf
37843,Students execute an incomplete borrowing procedure where they correctly add 10 to the ones column but fail to reduce the tens column.,"For 40 - 12, the student changes 0 to 10 and subtracts 2 to get 8, but fails to reduce the 4 in the tens place, resulting in an incorrect answer of 38.",whole_number,subtraction,borrowing algorithm,mixed,"preschool, primary, junior high",JRME_Baroody_1990_Chapter,Arthur J. Baroody and Herbert P. Ginsburg,1990,Journal for Research in Mathematics Education. Monograph,uncoded,primary,"61, 62",pdfs/JRME/JRME_Baroody_1990_Chapter.pdf
37868,"Students choose arithmetic operations based on the size of the given numbers rather than the problem's underlying semantic structure, avoiding operations that would produce answers they perceive as too large.","Sara applied division to a rate-times-a-quantity problem with the numbers 258 and 12 because she felt the product (3,096) would be 'too large', instead producing an answer of 21 with a remainder of 6.",whole_number,word problems,choice of operation,student,fifth-grade,JRME_Xin_2008_Effect,Yan Ping Xin,2008,Journal for Research in Mathematics Education,uncoded,secondary,545,pdfs/JRME/JRME_Xin_2008_Effect.pdf
37891,"Children misinterpret the keyword 'more' in compare subtraction problems as a cue to perform an additive operation, leading to the use of an incorrect strategy.",,whole_number,subtraction,compare word problems,student,Grades 1 through 4,JRME_Adetula_1989_Solutions,Lawal O. Adetula,1989,Journal for Research in Mathematics Education,uncoded,secondary,"495, 496",pdfs/JRME/JRME_Adetula_1989_Solutions.pdf
37903,A student inappropriately applies repeated division by 2 based on additive composition instead of multiplicative composition to solve a division problem.,"To solve 144 / 8, the student divided by 2 four times, reasoning incorrectly that '2 + 2 + 2 + 2 = 8'.",whole_number,division,nonstandard strategy,in_service,third-grade,JRME_Bray_2011_Collective,Wendy S. Bray,2011,Journal for Research in Mathematics Education,uncoded,secondary,"13, 20, 21",pdfs/JRME/JRME_Bray_2011_Collective.pdf
37951,"Students incorrectly translate the relational term in an additive comparison word problem directly into an arithmetic operation, leading to errors in inconsistent-language problems where the term conflicts with the necessary operation.","In an inconsistent-language problem like 'John has 8 more marbles than does Mary. If John has 15 marbles, how many marbles does Mary have?', students struggle because the phrase 'more than' conflicts with the required subtraction operation.",whole_number,word problems,Additive comparison,mixed,first grade,ZDM_Huang_2018_Developing,"Rongjin Huang, Qinqiong Zhang, Yu-ping Chang, Dovie Kimmins",2018,ZDM,deficit,primary,,pdfs/ZDM/ZDM_Huang_2018_Developing.pdf
